,Breaking&Entering,Stated intent with partner,Happened at night,Elements of assault identified,Elements of theft identified,Race,Stage of Legal Procedure,Sentencing
2422,False,False,False,True,False,White,Plea Bargaining,3
2423,True,False,False,True,False,White,Pre-Trial Motions,1
2424,True,False,False,False,False,Hispanic,Pre-Trial Motions,0
2425,True,True,False,True,True,White,Plea Bargaining,4
2426,True,True,False,False,True,White,Initial Hearing/Arraignment,4
2427,True,True,True,False,True,White,Pre-Trial Motions,3
2428,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,4
2429,True,True,False,False,True,Black,Plea Bargaining,4
2430,True,False,False,False,True,Black,Investigation,3
2431,True,True,False,True,False,Other,Plea Bargaining,4
2432,False,True,False,True,True,White,Plea Bargaining,4
2433,True,True,True,True,False,White,Pre-Trial Motions,3
2434,True,True,True,True,True,White,Initial Hearing/Arraignment,3
2435,True,False,True,True,False,Hispanic,Investigation,4
2436,True,True,True,False,True,White,Initial Hearing/Arraignment,4
2437,True,False,False,False,False,White,Investigation,3
2438,True,True,True,True,False,Black,Plea Bargaining,5
2439,False,True,False,False,False,Black,Plea Bargaining,5
2440,False,False,False,True,False,White,Pre-Trial Motions,5
2441,True,True,True,True,False,White,Plea Bargaining,4
2442,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,1
2443,True,True,False,False,True,White,Initial Hearing/Arraignment,3
2444,False,False,True,True,False,White,Initial Hearing/Arraignment,3
2445,False,False,True,False,False,Black,Initial Hearing/Arraignment,3
2446,True,False,False,True,True,Black,Investigation,4
2447,True,False,False,False,True,White,Pre-Trial Motions,4
2448,True,True,False,False,True,White,Investigation,0
2449,True,False,True,False,False,White,Initial Hearing/Arraignment,1
2450,False,True,False,True,True,Hispanic,Plea Bargaining,4
2451,False,False,True,True,True,Black,Investigation,4
2452,True,True,True,True,True,Black,Plea Bargaining,5
2453,True,True,True,False,True,Other,Investigation,4
2454,False,False,True,False,True,Black,Initial Hearing/Arraignment,1
2455,True,True,False,False,True,White,Initial Hearing/Arraignment,2
2456,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,0
2457,False,True,True,False,True,White,Investigation,3
2458,True,True,False,False,False,White,Investigation,3
2459,True,True,True,True,True,Black,Pre-Trial Motions,5
2460,False,False,True,True,False,White,Investigation,1
2461,False,True,True,False,True,Hispanic,Initial Hearing/Arraignment,1
2462,True,True,True,True,True,White,Initial Hearing/Arraignment,5
2463,True,False,False,True,True,Other,Pre-Trial Motions,2
2464,False,True,True,False,False,Black,Initial Hearing/Arraignment,5
2465,False,False,True,False,False,Black,Initial Hearing/Arraignment,5
2466,True,True,True,True,True,Black,Plea Bargaining,4
2467,True,False,False,False,False,Black,Plea Bargaining,4
2468,True,True,True,True,False,White,Initial Hearing/Arraignment,5
2469,False,False,True,True,False,White,Initial Hearing/Arraignment,4
2470,True,False,True,False,True,Black,Investigation,5
2471,False,False,False,False,True,Black,Plea Bargaining,3
2472,False,True,True,True,True,Black,Pre-Trial Motions,3
2473,False,False,True,True,True,Hispanic,Pre-Trial Motions,1
2474,False,False,True,True,True,White,Investigation,0
2475,False,False,False,False,False,Black,Investigation,0
2476,False,True,False,True,False,Black,Investigation,3
2477,False,False,False,False,False,Hispanic,Plea Bargaining,4
2478,False,True,True,True,True,Other,Initial Hearing/Arraignment,4
2479,True,True,False,False,True,Hispanic,Plea Bargaining,2
2480,True,False,False,True,False,White,Plea Bargaining,3
2481,True,False,False,False,False,White,Plea Bargaining,0
2482,False,True,True,False,True,Other,Initial Hearing/Arraignment,2
2483,False,False,True,True,False,White,Initial Hearing/Arraignment,3
2484,True,False,True,False,True,White,Pre-Trial Motions,3
2485,False,False,True,False,True,Black,Plea Bargaining,4
2486,True,False,True,True,False,Hispanic,Initial Hearing/Arraignment,5
2487,True,True,True,True,True,Hispanic,Pre-Trial Motions,4
2488,True,True,False,True,False,Hispanic,Investigation,1
2489,False,True,False,True,False,Black,Investigation,5
2490,False,True,False,False,True,Other,Pre-Trial Motions,0
2491,True,True,True,True,True,White,Investigation,2
2492,True,False,True,True,True,White,Investigation,3
2493,True,False,True,False,False,Black,Plea Bargaining,1
2494,False,True,True,False,False,Black,Plea Bargaining,3
2495,False,True,False,False,False,Black,Investigation,1
2496,True,True,False,True,True,Other,Initial Hearing/Arraignment,1
2497,False,True,False,False,True,Other,Pre-Trial Motions,1
2498,True,True,False,True,True,White,Investigation,1
2499,False,True,True,True,True,Black,Investigation,5
2500,True,True,False,False,True,Black,Plea Bargaining,3
2501,True,False,True,False,False,White,Initial Hearing/Arraignment,1
2502,True,True,False,False,False,Other,Pre-Trial Motions,5
2503,True,False,False,False,True,Hispanic,Pre-Trial Motions,4
2504,False,False,False,False,False,Other,Investigation,1
2505,False,True,True,True,True,White,Investigation,2
2506,True,True,False,False,False,Other,Pre-Trial Motions,2
2507,True,False,True,True,False,Other,Pre-Trial Motions,1
2508,True,False,True,False,True,Black,Plea Bargaining,3
2509,True,False,False,True,True,Black,Initial Hearing/Arraignment,5
2510,False,False,False,False,False,Other,Pre-Trial Motions,0
2511,True,True,True,False,True,White,Pre-Trial Motions,1
2512,True,True,False,True,True,Black,Plea Bargaining,2
2513,True,False,True,True,True,Black,Initial Hearing/Arraignment,0
2514,True,True,False,True,False,Hispanic,Investigation,2
2515,True,True,True,False,False,Other,Investigation,3
2516,True,True,False,False,True,White,Plea Bargaining,2
2517,True,False,True,False,True,White,Investigation,0
2518,True,True,True,True,False,Other,Investigation,4
2519,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,2
2520,False,True,True,True,False,Hispanic,Plea Bargaining,2
2521,False,False,True,False,False,White,Plea Bargaining,3
2522,True,True,False,False,True,Other,Pre-Trial Motions,3
2523,False,True,False,False,True,Other,Investigation,4
2524,True,False,True,True,True,Other,Pre-Trial Motions,3
2525,True,True,True,True,True,Other,Plea Bargaining,1
2526,False,True,False,True,False,Black,Investigation,4
2527,False,True,False,True,True,White,Investigation,4
2528,True,False,False,False,True,White,Investigation,2
2529,True,False,True,False,True,Hispanic,Plea Bargaining,2
2530,True,True,False,False,False,Black,Plea Bargaining,1
2531,True,True,False,True,True,White,Initial Hearing/Arraignment,0
2532,False,True,True,False,False,Black,Pre-Trial Motions,5
2533,False,False,True,False,True,Black,Investigation,3
2534,False,False,True,False,False,White,Plea Bargaining,2
2535,False,True,False,False,False,White,Initial Hearing/Arraignment,3
2536,True,True,True,True,True,Black,Plea Bargaining,3
2537,False,False,True,True,False,Other,Initial Hearing/Arraignment,2
2538,False,True,False,False,True,Black,Pre-Trial Motions,4
2539,False,False,False,False,True,Hispanic,Initial Hearing/Arraignment,0
2540,True,True,False,False,False,Other,Investigation,4
2541,False,True,True,False,False,Other,Pre-Trial Motions,5
2542,False,True,False,True,False,White,Plea Bargaining,2
2543,False,True,False,False,True,Other,Plea Bargaining,3
2544,False,True,True,True,False,Hispanic,Investigation,0
2545,True,False,False,False,True,White,Pre-Trial Motions,0
2546,True,True,True,False,True,Black,Plea Bargaining,5
2547,False,True,False,False,False,Hispanic,Investigation,4
2548,False,False,False,False,False,Other,Pre-Trial Motions,5
2549,False,True,False,False,True,White,Initial Hearing/Arraignment,3
2550,False,False,True,True,False,Hispanic,Plea Bargaining,2
2551,True,True,False,False,False,Black,Investigation,1
2552,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,3
2553,True,True,False,False,False,White,Plea Bargaining,2
2554,False,True,False,True,False,Other,Initial Hearing/Arraignment,3
2555,False,False,False,False,False,Black,Investigation,5
2556,True,False,False,False,False,Other,Initial Hearing/Arraignment,3
2557,False,False,False,False,True,White,Pre-Trial Motions,1
2558,False,False,True,False,True,Black,Plea Bargaining,4
2559,False,False,True,False,False,Other,Plea Bargaining,0
2560,True,False,False,False,True,Hispanic,Investigation,4
2561,False,False,True,False,False,Hispanic,Plea Bargaining,2
2562,False,False,False,True,True,Black,Investigation,1
2563,True,False,False,False,True,Hispanic,Investigation,2
2564,False,False,False,False,True,Black,Investigation,4
2565,False,True,True,False,True,White,Pre-Trial Motions,4
2566,True,True,False,False,False,Other,Pre-Trial Motions,0
2567,True,False,False,True,True,White,Pre-Trial Motions,2
2568,True,True,False,False,False,Black,Investigation,4
2569,False,True,False,True,False,Hispanic,Initial Hearing/Arraignment,3
2570,True,False,False,True,True,Hispanic,Pre-Trial Motions,2
2571,True,True,True,False,False,Black,Pre-Trial Motions,4
2572,True,False,True,True,False,Black,Investigation,4
2573,False,True,False,True,True,Black,Pre-Trial Motions,5
2574,False,False,True,False,True,Other,Initial Hearing/Arraignment,3
2575,False,True,True,True,True,Other,Plea Bargaining,1
2576,True,False,True,True,True,Hispanic,Pre-Trial Motions,3
2577,False,True,False,True,False,Black,Investigation,0
2578,True,True,False,True,False,Black,Plea Bargaining,3
2579,False,False,False,False,False,White,Plea Bargaining,3
2580,True,True,True,True,False,Hispanic,Plea Bargaining,1
2581,True,True,False,False,True,Hispanic,Initial Hearing/Arraignment,1
2582,True,True,False,False,False,White,Plea Bargaining,3
2583,True,True,False,True,True,Black,Plea Bargaining,3
2584,True,True,False,False,False,Black,Investigation,3
2585,False,False,False,True,True,White,Pre-Trial Motions,0
2586,True,False,False,False,False,Black,Plea Bargaining,3
2587,False,False,True,True,True,Black,Plea Bargaining,3
2588,True,True,True,False,True,Black,Plea Bargaining,4
2589,True,False,False,False,False,White,Plea Bargaining,4
2590,False,True,True,False,True,White,Initial Hearing/Arraignment,3
2591,True,True,False,False,True,Other,Initial Hearing/Arraignment,0
2592,False,True,True,False,True,Hispanic,Initial Hearing/Arraignment,0
2593,True,False,False,True,False,Other,Investigation,1
2594,True,False,False,True,False,Black,Investigation,4
2595,False,False,False,False,False,Hispanic,Initial Hearing/Arraignment,4
2596,False,True,True,True,False,Hispanic,Investigation,1
2597,True,True,True,False,False,Other,Investigation,3
2598,False,False,False,False,False,Black,Plea Bargaining,3
2599,False,True,False,False,False,Black,Investigation,3
2600,True,True,False,False,True,Other,Investigation,4
2601,False,True,False,True,True,Hispanic,Plea Bargaining,5
2602,True,True,True,True,True,Other,Pre-Trial Motions,5
2603,False,False,False,False,True,White,Plea Bargaining,3
2604,True,False,False,True,False,White,Investigation,4
2605,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,5
2606,True,True,True,False,False,Black,Plea Bargaining,2
2607,True,True,False,True,False,White,Initial Hearing/Arraignment,3
2608,True,True,False,True,False,Other,Investigation,1
2609,False,False,False,True,False,Other,Investigation,4
2610,False,True,True,True,False,Black,Investigation,2
2611,False,False,True,True,True,Other,Investigation,4
2612,False,False,True,True,True,Hispanic,Plea Bargaining,0
2613,True,False,False,True,True,White,Plea Bargaining,0
2614,False,True,False,False,False,White,Investigation,2
2615,False,True,False,False,False,White,Initial Hearing/Arraignment,1
2616,False,False,False,False,False,Black,Investigation,2
2617,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,2
2618,False,True,True,False,False,Hispanic,Pre-Trial Motions,2
2619,False,True,True,False,False,Black,Plea Bargaining,5
2620,False,True,False,False,True,Black,Plea Bargaining,0
2621,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,0
2622,True,True,False,True,False,Black,Investigation,0
2623,True,False,True,True,False,Hispanic,Plea Bargaining,1
2624,True,False,True,True,True,Hispanic,Pre-Trial Motions,3
2625,True,True,True,True,True,Hispanic,Initial Hearing/Arraignment,4
2626,False,True,False,False,False,Other,Plea Bargaining,1
2627,True,False,True,False,False,Hispanic,Pre-Trial Motions,1
2628,True,True,True,False,True,White,Plea Bargaining,4
2629,False,False,False,True,True,White,Pre-Trial Motions,1
2630,True,True,False,False,False,Hispanic,Pre-Trial Motions,2
2631,True,False,True,True,True,White,Investigation,0
2632,True,False,True,True,True,Black,Plea Bargaining,5
2633,True,True,True,False,False,White,Plea Bargaining,3
2634,True,True,True,False,True,Other,Initial Hearing/Arraignment,3
2635,True,True,True,True,True,Black,Investigation,2
2636,True,False,False,False,False,White,Plea Bargaining,1
2637,False,False,False,False,False,Hispanic,Plea Bargaining,2
2638,True,False,False,False,False,White,Pre-Trial Motions,3
2639,True,True,False,True,False,Black,Plea Bargaining,3
2640,False,True,False,False,False,Black,Plea Bargaining,4
2641,False,False,False,True,True,White,Plea Bargaining,3
2642,True,True,True,True,True,Other,Initial Hearing/Arraignment,3
2643,True,True,True,True,True,Black,Investigation,5
2644,True,True,True,False,False,Black,Plea Bargaining,1
2645,True,False,True,True,True,White,Investigation,3
2646,False,False,True,False,False,Black,Plea Bargaining,5
2647,False,True,True,False,False,Other,Initial Hearing/Arraignment,1
2648,False,True,False,False,False,Other,Investigation,1
2649,True,True,False,False,True,Other,Investigation,0
2650,False,True,False,False,False,Hispanic,Pre-Trial Motions,4
2651,False,True,True,False,True,Other,Initial Hearing/Arraignment,3
2652,False,False,False,False,True,Hispanic,Initial Hearing/Arraignment,1
2653,True,True,True,True,False,Black,Investigation,4
2654,False,False,False,False,False,Black,Plea Bargaining,4
2655,False,True,False,True,True,Other,Investigation,5
2656,False,False,False,True,False,Black,Investigation,5
2657,True,True,True,True,False,Hispanic,Pre-Trial Motions,1
2658,False,True,True,True,True,Black,Plea Bargaining,4
2659,True,False,False,True,False,Black,Investigation,2
2660,True,False,True,False,False,Hispanic,Initial Hearing/Arraignment,3
2661,False,True,False,False,True,Black,Plea Bargaining,4
2662,True,False,False,True,False,White,Investigation,0
2663,False,True,False,False,False,White,Investigation,2
2664,True,False,False,False,True,Hispanic,Plea Bargaining,2
2665,False,True,True,True,True,White,Initial Hearing/Arraignment,2
2666,False,True,False,True,True,Other,Pre-Trial Motions,4
2667,True,True,False,False,True,Black,Initial Hearing/Arraignment,4
2668,False,False,True,True,True,Hispanic,Initial Hearing/Arraignment,5
2669,False,False,False,True,True,Other,Investigation,5
2670,True,False,True,False,False,Black,Investigation,5
2671,True,False,False,False,True,White,Plea Bargaining,2
2672,True,False,False,True,True,Other,Initial Hearing/Arraignment,2
2673,False,True,False,True,True,Black,Investigation,1
2674,False,True,False,False,True,Black,Initial Hearing/Arraignment,4
2675,True,False,False,False,False,Hispanic,Pre-Trial Motions,1
2676,False,False,False,True,True,Black,Plea Bargaining,3
2677,True,True,True,True,False,Other,Plea Bargaining,0
2678,True,False,True,True,False,Hispanic,Investigation,2
2679,False,True,False,False,True,Other,Investigation,3
2680,True,True,False,True,True,Other,Plea Bargaining,0
2681,True,True,False,False,True,White,Pre-Trial Motions,5
2682,True,True,False,True,True,Black,Plea Bargaining,2
2683,False,False,True,False,False,Other,Plea Bargaining,4
2684,True,False,False,True,True,Other,Investigation,1
2685,True,True,False,False,False,White,Initial Hearing/Arraignment,2
2686,False,False,False,False,True,Other,Initial Hearing/Arraignment,4
2687,False,True,True,False,True,Hispanic,Pre-Trial Motions,3
2688,True,False,True,True,True,Black,Plea Bargaining,4
2689,True,False,False,True,False,Other,Initial Hearing/Arraignment,4
2690,True,True,False,True,False,Hispanic,Plea Bargaining,0
2691,True,False,False,True,False,Black,Plea Bargaining,5
2692,False,True,False,False,False,Black,Investigation,3
2693,True,False,True,False,False,Hispanic,Investigation,1
2694,False,False,True,True,False,Other,Pre-Trial Motions,3
2695,False,False,False,False,True,Hispanic,Investigation,2
2696,False,True,False,False,True,Black,Plea Bargaining,1
2697,False,False,True,True,True,White,Pre-Trial Motions,3
2698,False,True,False,False,False,Other,Pre-Trial Motions,5
2699,False,True,False,False,False,Black,Investigation,3
2700,True,False,False,False,False,White,Pre-Trial Motions,2
2701,False,True,False,True,True,White,Plea Bargaining,1
2702,False,True,False,False,True,Hispanic,Investigation,0
2703,False,True,True,False,True,Hispanic,Investigation,2
2704,False,False,False,False,True,Black,Plea Bargaining,2
2705,False,True,True,True,True,Hispanic,Pre-Trial Motions,1
2706,True,True,True,True,True,Other,Investigation,4
2707,True,True,True,False,True,Hispanic,Investigation,5
2708,False,True,False,False,False,Hispanic,Plea Bargaining,2
2709,True,False,True,True,False,Hispanic,Plea Bargaining,4
2710,False,False,True,True,False,Black,Plea Bargaining,3
2711,True,True,True,True,False,Other,Investigation,0
2712,False,False,True,False,True,Black,Investigation,0
2713,True,False,True,True,False,Hispanic,Pre-Trial Motions,3
2714,False,True,False,True,True,Hispanic,Initial Hearing/Arraignment,4
2715,False,False,False,False,False,Black,Investigation,5
2716,False,True,False,True,True,Black,Plea Bargaining,5
2717,True,True,False,False,False,Other,Investigation,0
2718,True,False,True,False,False,White,Pre-Trial Motions,1
2719,False,False,True,True,True,Other,Pre-Trial Motions,1
2720,True,True,True,True,True,White,Initial Hearing/Arraignment,3
2721,False,True,False,True,True,Black,Plea Bargaining,3
2722,False,False,True,True,True,Black,Initial Hearing/Arraignment,2
2723,True,False,False,True,True,Black,Plea Bargaining,5
2724,True,True,False,True,True,Hispanic,Pre-Trial Motions,1
2725,False,True,False,True,True,Black,Investigation,4
2726,True,False,False,False,False,Other,Pre-Trial Motions,3
2727,False,True,False,True,False,White,Initial Hearing/Arraignment,2
2728,False,True,False,False,False,Hispanic,Pre-Trial Motions,0
2729,False,False,True,True,False,Black,Initial Hearing/Arraignment,3
2730,True,True,True,False,False,White,Pre-Trial Motions,1
2731,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,4
2732,True,True,True,True,False,Black,Plea Bargaining,5
2733,True,False,True,False,False,Black,Plea Bargaining,2
2734,False,False,False,True,True,Other,Pre-Trial Motions,4
2735,True,False,False,False,False,Black,Plea Bargaining,4
2736,True,False,True,True,True,Other,Plea Bargaining,2
2737,False,False,False,True,False,White,Plea Bargaining,2
2738,True,True,False,False,True,Hispanic,Pre-Trial Motions,1
2739,True,False,False,True,False,Other,Investigation,1
2740,False,False,False,False,True,Hispanic,Initial Hearing/Arraignment,1
2741,False,True,False,True,True,White,Initial Hearing/Arraignment,4
2742,False,True,False,False,False,Hispanic,Initial Hearing/Arraignment,3
2743,False,True,True,False,True,Black,Plea Bargaining,4
2744,True,True,True,True,True,Hispanic,Plea Bargaining,1
2745,True,False,True,False,False,Hispanic,Initial Hearing/Arraignment,1
2746,True,False,True,False,True,Other,Plea Bargaining,3
2747,True,True,False,True,True,Hispanic,Initial Hearing/Arraignment,0
2748,True,True,False,False,False,Other,Investigation,4
2749,True,True,False,False,True,Black,Plea Bargaining,5
2750,True,False,False,True,False,Black,Investigation,3
2751,False,False,False,True,True,Hispanic,Plea Bargaining,2
2752,True,True,False,True,True,White,Initial Hearing/Arraignment,4
2753,False,True,False,False,True,Other,Plea Bargaining,2
2754,True,True,True,True,True,Other,Investigation,1
2755,False,False,False,True,False,Black,Initial Hearing/Arraignment,5
2756,True,False,True,True,False,White,Investigation,2
2757,False,True,True,False,True,Black,Plea Bargaining,0
2758,True,False,False,True,True,Black,Plea Bargaining,2
2759,False,False,True,False,False,White,Pre-Trial Motions,0
2760,True,True,False,False,True,Other,Investigation,2
2761,True,True,True,False,False,Black,Initial Hearing/Arraignment,4
2762,False,True,False,False,False,Other,Initial Hearing/Arraignment,1
2763,False,True,False,False,True,White,Pre-Trial Motions,2
2764,True,False,True,False,False,White,Initial Hearing/Arraignment,4
2765,True,True,False,True,False,White,Investigation,3
2766,True,True,True,True,True,Black,Plea Bargaining,5
2767,False,False,False,True,True,White,Pre-Trial Motions,1
2768,False,True,True,True,False,Black,Plea Bargaining,4
2769,False,True,True,True,True,Hispanic,Initial Hearing/Arraignment,3
2770,True,True,True,True,False,Black,Plea Bargaining,4
2771,False,False,False,True,True,Hispanic,Initial Hearing/Arraignment,4
2772,False,False,False,False,True,Black,Investigation,3
2773,False,True,False,False,False,Hispanic,Plea Bargaining,4
2774,True,False,True,False,False,Hispanic,Investigation,4
2775,True,True,False,False,False,Other,Plea Bargaining,4
2776,True,False,True,True,False,Hispanic,Plea Bargaining,3
2777,True,False,True,True,True,Other,Pre-Trial Motions,1
2778,True,True,True,False,False,Hispanic,Plea Bargaining,3
2779,False,True,True,False,False,Black,Plea Bargaining,3
2780,False,False,False,True,True,Black,Investigation,5
2781,False,True,True,False,True,Other,Initial Hearing/Arraignment,3
2782,False,False,False,False,False,Other,Pre-Trial Motions,3
2783,False,True,True,False,True,Other,Plea Bargaining,5
2784,False,False,False,False,True,Hispanic,Plea Bargaining,1
2785,False,True,False,True,True,Black,Initial Hearing/Arraignment,1
2786,False,True,False,True,True,White,Initial Hearing/Arraignment,3
2787,True,False,False,False,False,Other,Initial Hearing/Arraignment,5
2788,False,False,False,False,False,Hispanic,Investigation,0
2789,False,False,False,False,False,Other,Plea Bargaining,3
2790,False,False,True,False,True,Black,Plea Bargaining,5
2791,True,False,False,True,False,Hispanic,Initial Hearing/Arraignment,2
2792,True,True,True,True,False,Other,Initial Hearing/Arraignment,3
2793,True,True,True,False,False,Black,Pre-Trial Motions,2
2794,False,True,True,True,True,Hispanic,Pre-Trial Motions,1
2795,True,True,False,False,False,Black,Investigation,5
2796,False,True,True,False,False,White,Plea Bargaining,3
2797,False,False,False,False,False,White,Pre-Trial Motions,3
2798,False,False,True,False,False,White,Plea Bargaining,2
2799,True,True,False,True,False,Hispanic,Initial Hearing/Arraignment,2
2800,False,True,True,True,True,Other,Pre-Trial Motions,3
2801,False,True,True,True,True,Hispanic,Initial Hearing/Arraignment,3
2802,False,False,True,True,True,Black,Investigation,5
2803,False,False,False,False,False,White,Investigation,4
2804,False,False,True,False,False,Other,Initial Hearing/Arraignment,4
2805,False,False,True,False,False,Black,Investigation,0
2806,True,False,True,False,False,White,Initial Hearing/Arraignment,2
2807,False,True,False,True,True,Black,Plea Bargaining,4
2808,False,False,False,True,False,Other,Plea Bargaining,2
2809,False,True,False,True,False,Black,Plea Bargaining,5
2810,False,False,True,True,True,Hispanic,Plea Bargaining,2
2811,True,True,True,True,False,Black,Investigation,3
2812,False,False,True,False,True,White,Initial Hearing/Arraignment,2
2813,False,False,False,True,False,Hispanic,Plea Bargaining,4
2814,True,False,False,False,True,Black,Plea Bargaining,4
2815,False,True,True,False,False,White,Initial Hearing/Arraignment,1
2816,False,False,False,True,False,Black,Plea Bargaining,4
2817,False,True,False,True,False,Black,Investigation,5
2818,True,True,True,True,True,Hispanic,Pre-Trial Motions,1
2819,True,False,True,False,True,Black,Plea Bargaining,3
2820,True,True,False,False,True,Other,Pre-Trial Motions,4
2821,True,True,False,False,True,Hispanic,Initial Hearing/Arraignment,1
2822,True,False,True,True,False,Hispanic,Initial Hearing/Arraignment,3
2823,True,False,True,True,True,Black,Investigation,2
2824,True,False,True,False,True,Other,Pre-Trial Motions,5
2825,False,False,False,True,False,White,Initial Hearing/Arraignment,1
2826,False,False,True,False,True,Black,Plea Bargaining,3
2827,True,False,True,False,True,Hispanic,Plea Bargaining,3
2828,False,True,False,True,True,White,Initial Hearing/Arraignment,4
2829,True,False,True,True,True,Hispanic,Initial Hearing/Arraignment,0
2830,False,True,True,True,False,White,Pre-Trial Motions,5
2831,True,True,False,True,False,White,Pre-Trial Motions,2
2832,True,False,True,True,False,Black,Pre-Trial Motions,5
2833,True,False,False,True,True,Black,Pre-Trial Motions,4
2834,False,True,False,False,False,Other,Pre-Trial Motions,3
2835,True,False,False,False,False,Hispanic,Plea Bargaining,2
2836,True,True,False,True,True,White,Plea Bargaining,0
2837,False,True,True,False,True,Hispanic,Pre-Trial Motions,4
2838,False,False,True,True,True,White,Investigation,2
2839,True,False,True,True,False,White,Initial Hearing/Arraignment,2
2840,True,True,True,True,False,White,Plea Bargaining,5
2841,True,False,False,True,True,Other,Pre-Trial Motions,2
2842,False,False,False,False,False,Other,Pre-Trial Motions,1
2843,False,True,True,True,True,Hispanic,Investigation,1
2844,True,True,True,True,False,Other,Plea Bargaining,1
2845,False,False,True,True,False,Other,Pre-Trial Motions,3
2846,False,False,False,True,True,White,Initial Hearing/Arraignment,1
2847,False,False,True,False,False,Black,Initial Hearing/Arraignment,5
2848,False,True,True,True,False,Hispanic,Initial Hearing/Arraignment,5
2849,True,True,False,True,False,Other,Investigation,4
2850,True,True,False,False,False,Hispanic,Plea Bargaining,0
2851,False,True,True,True,True,Other,Initial Hearing/Arraignment,3
2852,False,True,False,True,True,Hispanic,Pre-Trial Motions,3
2853,False,False,True,True,False,Other,Investigation,2
2854,False,False,True,True,True,Hispanic,Investigation,2
2855,False,False,False,False,True,Black,Investigation,4
2856,False,False,True,False,True,Black,Initial Hearing/Arraignment,5
2857,True,False,False,False,False,Hispanic,Pre-Trial Motions,1
2858,False,True,False,True,False,Other,Investigation,2
2859,False,True,True,False,False,Other,Investigation,1
2860,True,False,True,True,True,Other,Plea Bargaining,1
2861,False,True,True,False,True,White,Plea Bargaining,1
2862,False,True,True,False,False,Hispanic,Plea Bargaining,1
2863,False,True,True,True,True,Black,Investigation,5
2864,True,False,False,False,True,Other,Initial Hearing/Arraignment,3
2865,False,True,False,False,True,Hispanic,Plea Bargaining,3
2866,False,False,True,False,False,Other,Pre-Trial Motions,3
2867,False,False,False,False,False,White,Initial Hearing/Arraignment,4
2868,False,True,True,False,True,Hispanic,Initial Hearing/Arraignment,1
2869,False,False,True,True,True,White,Initial Hearing/Arraignment,4
2870,False,False,False,False,False,Other,Initial Hearing/Arraignment,4
2871,False,False,True,True,False,Hispanic,Initial Hearing/Arraignment,4
2872,False,False,True,False,False,White,Pre-Trial Motions,1
2873,False,False,True,True,True,White,Initial Hearing/Arraignment,2
2874,True,False,False,False,False,Hispanic,Plea Bargaining,0
2875,True,False,False,False,False,Hispanic,Plea Bargaining,4
2876,True,False,False,False,False,Black,Pre-Trial Motions,3
2877,False,False,True,False,True,White,Initial Hearing/Arraignment,4
2878,True,False,False,False,True,Other,Plea Bargaining,0
2879,True,False,True,False,True,Black,Plea Bargaining,4
2880,False,True,True,True,False,White,Pre-Trial Motions,2
2881,True,False,True,True,True,Hispanic,Investigation,4
2882,False,True,True,False,False,Hispanic,Plea Bargaining,3
2883,True,False,True,True,True,Other,Plea Bargaining,5
2884,True,True,False,True,True,White,Investigation,1
2885,True,True,True,False,False,White,Investigation,0
2886,True,True,False,True,False,Other,Pre-Trial Motions,1
2887,True,False,True,False,False,White,Plea Bargaining,4
2888,True,False,False,False,False,Other,Initial Hearing/Arraignment,2
2889,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,2
2890,True,False,True,True,False,Other,Pre-Trial Motions,0
2891,True,True,True,True,True,Other,Initial Hearing/Arraignment,2
2892,False,False,True,False,False,Other,Initial Hearing/Arraignment,1
2893,False,False,True,False,False,Other,Initial Hearing/Arraignment,1
2894,True,False,False,False,True,Black,Plea Bargaining,4
2895,False,False,True,True,True,Other,Pre-Trial Motions,2
2896,True,False,False,False,False,Black,Plea Bargaining,2
2897,False,True,True,False,True,Other,Initial Hearing/Arraignment,4
2898,True,False,True,True,True,White,Pre-Trial Motions,5
2899,True,True,False,False,False,Black,Initial Hearing/Arraignment,1
2900,True,False,False,False,True,White,Investigation,1
2901,False,False,True,True,False,Hispanic,Initial Hearing/Arraignment,2
2902,False,True,True,True,False,Black,Investigation,3
2903,False,False,False,True,True,Other,Pre-Trial Motions,3
2904,True,True,False,False,True,Hispanic,Initial Hearing/Arraignment,4
2905,True,True,True,True,True,Hispanic,Initial Hearing/Arraignment,2
2906,False,True,False,True,True,Hispanic,Initial Hearing/Arraignment,1
2907,True,False,True,False,False,Other,Pre-Trial Motions,2
2908,False,True,False,False,True,Black,Plea Bargaining,2
2909,True,True,False,False,True,White,Plea Bargaining,4
2910,True,True,True,True,False,Black,Initial Hearing/Arraignment,3
2911,True,True,False,False,False,Black,Pre-Trial Motions,2
2912,True,True,True,False,True,Other,Plea Bargaining,0
2913,False,True,True,True,True,Black,Plea Bargaining,0
2914,True,False,True,True,True,Other,Initial Hearing/Arraignment,3
2915,False,False,False,False,True,White,Plea Bargaining,1
2916,True,True,False,True,True,Black,Initial Hearing/Arraignment,3
